Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,38.0,8,HARD,2.0,97.071,1.027358550473086,28.767,41.074,27.23,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,39.0,9,HARD,2.0,96.957,1.026152022521855,28.621,41.115,27.221,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,40.0,10,HARD,2.0,96.962,1.0262049404144529,28.662,41.048,27.252,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,41.0,11,HARD,2.0,97.38,1.0306288762356326,28.78,41.247,27.353,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,42.0,12,HARD,2.0,96.865,1.0251783332980546,28.629,41.058,27.178,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,43.0,13,HARD,2.0,96.582,1.0221831805770165,28.636,40.814,27.132,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,44.0,14,HARD,2.0,96.414,1.020405139385729,28.587,40.752,27.075,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,45.0,15,HARD,2.0,96.618,1.0225641894037212,28.645,40.993,26.98,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,46.0,16,HARD,2.0,96.5,1.0213153271384119,28.552,40.938,27.01,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,47.0,17,HARD,2.0,96.628,1.022670025188917,28.654,40.908,27.066,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,48.0,18,HARD,2.0,96.739,1.023844802404589,28.672,40.922,27.145,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,49.0,19,HARD,2.0,96.602,1.022394852147408,28.749,40.909,26.944,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,50.0,20,HARD,2.0,97.055,1.0271892132167728,28.723,41.192,27.14,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,51.0,21,HARD,2.0,97.132,1.0280041487627796,28.785,41.295,27.052,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,52.0,22,HARD,2.0,96.842,1.0249349109921047,28.632,41.176,27.034,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,53.0,23,HARD,2.0,96.843,1.0249454945706242,28.64,41.069,27.134,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,54.0,24,HARD,2.0,96.748,1.0239400546112651,28.831,40.957,26.96,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,55.0,25,HARD,2.0,96.427,1.0205427259064834,28.561,40.901,26.965,2.0,1,Street
